"Label","Action","Geonames","LOC","Motivation","Class","Variant Names"
"asbury manual labor school","Replace","","","tagging","school","asbury manual labor school"
"diné","Replace","","","tagging","tribe","diné;navajo;navaho;athapascan indians;navajos"
"bond's mission school","Replace","","","tagging","school","bond's mission school;montana industrial school for indians"
"burney institute","Replace","","","tagging","school","burney institute"
"absentee shawnee boarding school","Replace","","","tagging","school","absentee shawnee boarding school"
"cherokee orphan asylum","Replace","","","tagging","school","cherokee orphan asylum"
"cameron institute","Replace","","","tagging","school","cameron institute"
"asbury manual labor school","Replace","","","tagging","school","asbury manual labor school"
"chilocco indian agricultural school","Replace","","","tagging","school","chilocco indian agricultural school"
"cantonment indian boarding school","Replace","","","tagging","school","cantonment indian boarding school"
"bacone college","Replace","","","tagging","school","bacone college"
"circle of nations indian school","Replace","","","tagging","school","circle of nations indian school"
"chickasaw national academy","Replace","","","tagging","school","chickasaw national academy"
"cherokee female seminary","Replace","","","tagging","school","cherokee female seminary"
"emahaka mission","Replace","","","tagging","school","emahaka mission"
"chinle boarding school","Replace","","","tagging","school","chinle boarding school"
"cherokee male seminary","Replace","","","tagging","school","cherokee male seminary"
"eufaula dormitory","Replace","","","tagging","school","eufaula dormitory"
"chuala female seminary","Replace","","","tagging","school","chuala female seminary;pine ridge mission schoo"
"cheyenne-arapaho boarding school","Replace","","","tagging","school","cheyenne-arapaho boarding school"
"eufaula indian high school","Replace","","","tagging","school","eufaula indian high school"
"dwight mission","Replace","","","tagging","school","dwight mission"
"chickasaw (male) academy","Replace","","","tagging","school","chickasaw (male) academy;chickasaw academy"
"fort coffee academy","Replace","","","tagging","school","fort coffee academy"
"elliott academy","Replace","","","tagging","school","elliott academy;oak hill industrial academy"
"colbert institute","Replace","","","tagging","school","colbert institute"
"fort shaw indian school","Replace","","","tagging","school","fort shaw indian school"
"el meta bond college","Replace","","","tagging","school","el meta bond college"
"darlington mission school","Replace","","","tagging","school","darlington mission school"
"iowa mission school","Replace","","","tagging","school","iowa mission school"
"euchee boarding school","Replace","","","tagging","school","euchee boarding school"
"folsom training school","Replace","","","tagging","school","folsom training school"
"jones academy","Replace","","","tagging","school","jones academy"
"flandreau indian school","Replace","","","tagging","school","flandreau indian school"
"hillside mission school","Replace","","","tagging","school","hillside mission school"
"mekasukey academy","Replace","","","tagging","school","mekasukey academy"
"fort totten indian industrial school","Replace","","","tagging","school","fort totten indian industrial school"
"holbrook indian school","Replace","","","tagging","school","holbrook indian school"
"nuyaka school and orphanage","Replace","","","tagging","school","nuyaka school and orphanage;nuyaka mission"
"genoa indian industrial school","Replace","","","tagging","school","genoa indian industrial school"
"levering manual labor school","Replace","","","tagging","school","levering manual labor school"
"oklahoma school for the deaf","Replace","","","tagging","school","oklahoma school for the deaf"
"haskell indian industrial training school","Replace","","","tagging","school","haskell indian industrial training school"
"oklahoma presbyterian college for girls","Replace","","","tagging","school","oklahoma presbyterian college for girls"
"pine ridge boarding school","Replace","","","tagging","school","pine ridge boarding school"
"ignacio boarding school","Replace","","","tagging","school","ignacio boarding school"
"oklahoma school for the blind","Replace","","","tagging","school","oklahoma school for the blind"
"pinon boarding school","Replace","","","tagging","school","pinon boarding school"
"intermountain indian school","Replace","","","tagging","school","intermountain indian school"
"oneida indian school","Replace","","","tagging","school","oneida indian school"
"rainy mountain boarding school","Replace","","","tagging","school","rainy mountain boarding school"
"many farms high school","Replace","","","tagging","school","many farms high school"
"pierre indian school","Replace","","","tagging","school","pierre indian school"
"rapid city indian school","Replace","","","tagging","school","rapid city indian school"
"new hope academy","Replace","","","tagging","school","new hope academy"
"pipestone indian school","Replace","","","tagging","school","pipestone indian school"
"sac and fox boarding school","Replace","","","tagging","school","sac and fox boarding school"
"oak hill industrial academy","Replace","","","tagging","school","oak hill industrial academy"
"st. patrick's mission and boarding school","Replace","","","tagging","school","st. patrick's mission and boarding school"
"sacred heart college","Replace","","","tagging","school","sacred heart college"
"osage boarding school","Replace","","","tagging","school","osage boarding school"
"sasakwa female academy","Replace","","","tagging","school","sasakwa female academy"
"st. agnes academy","Replace","","","tagging","school","st. agnes academy"
"pawnee boarding school","Replace","","","tagging","school","pawnee boarding school"
"sequoyah high school","Replace","","","tagging","school","sequoyah high school"
"st. john's boarding school","Replace","","","tagging","school","st. john's boarding school"
"st. agnes mission","Replace","","","tagging","school","st. agnes mission"
"sherman indian high school","Replace","","","tagging","school","sherman indian high school"
"st. joseph's boarding school","Replace","","","tagging","school","st. joseph's boarding school"
"st. boniface indian school","Replace","","","tagging","school","st. boniface indian school"
"sulphur springs indian school","Replace","","","tagging","school","sulphur springs indian school"
"st. louis industrial school","Replace","","","tagging","school","st. louis industrial school"
"st. mary's boarding school","Replace","","","tagging","school","st. mary's boarding school"
"tullahassee mission school","Replace","","","tagging","school","tullahassee mission school"
"shawnee boarding school","Replace","","","tagging","school","shawnee boarding school"
"tomah indian school","Replace","","","tagging","school","tomah indian school"
"tullahassee manual labor school","Replace","","","tagging","school","tullahassee manual labor school"
"shiprock boarding school","Replace","","","tagging","school","shiprock boarding school"
"wealaka mission school","Replace","","","tagging","school","wealaka mission school"
"wapanucka academ","Replace","","","tagging","school","wapanucka academ;allen academy"
"southwestern indian polytechnic institute","Replace","","","tagging","school","southwestern indian polytechnic institute"
"white's manual labor institute","Replace","","","tagging","school","white's manual labor institute"
"spencer academy","Replace","","","tagging","school","spencer academy;national school of the choctaw nation"
"yellow springs school","Replace","","","tagging","school","yellow springs school"
"stewart indian school","Replace","","","tagging","school","stewart indian school"
"theodore roosevelt indian boarding school","Replace","","","tagging","school","theodore roosevelt indian boarding school"
"tushka lusa institute","Replace","","","tagging","school","tushka lusa institute;tuska lusa;tushkaloosa academy"
"wahpeton indian school","Replace","","","tagging","school","wahpeton indian school"
"wheelock academy","Replace","","","tagging","school","wheelock academy"
"wetumka boarding school","Replace","","","tagging","school","wetumka boarding school"
"wittenberg indian school","Replace","","","tagging","school","wittenberg indian school"
"anadarko boarding school","Replace","","","tagging","school","anadarko boarding school"
"chamberlain indian school","Replace","","","tagging","school","chamberlain indian school"
"chemawa indian school","Replace","","","tagging","school","chemawa indian school"
"chickasaw children's village","Replace","","","tagging","school","chickasaw children's village"
"creek orphan asylum","Replace","","","tagging","school","creek orphan asylum"
"fort sill indian school","Replace","","","tagging","school","fort sill indian school;josiah missionary school"
"goodland academy & indian orphanage","Replace","","","tagging","school","goodland academy & indian orphanage"
"hampton institute","Replace","","","tagging","school","hampton institute"
"m-1304_25","Replace","","","tagging","roll","m-1304_25"
"koweta mission school coweta","Replace","","","tagging","school","koweta mission school coweta"
"san juan school","Replace","","","tagging","school","san juan school"
"morris industrial school for indians","Replace","","","tagging","school","morris industrial school for indians"
"mount edgecumbe high school","Replace","","","tagging","school","mount edgecumbe high school"
"oak ridge manual labor school","Replace","","","tagging","school","oak ridge manual labor school"
"park hill mission school","Replace","","","tagging","school","park hill mission school"
"pine ridge mission school","Replace","","","tagging","school","pine ridge mission school"
"riverside indian school","Replace","","","tagging","school","riverside indian school"
"sacred heart institute","Replace","","","tagging","school","sacred heart institute"
"thomas indian school","Replace","","","tagging","school","thomas indian school"
"tuskahoma female academy","Replace","","","tagging","school","tuskahoma female academy"
"wewoka mission school","Replace","","","tagging","school","wewoka mission school"
"pueblo agency","Replace","","","tagging","org","pueblo agency"
"arapaho manual labor and boarding school","Replace","","","tagging","school","arapaho manual labor and boarding school"
"bloomfield female academy","Replace","","","tagging","school","bloomfield female academy"
"m-1473_01","Replace","","","tagging","roll","m-1473_01"
"cheyenne manual labor and boarding school","Replace","","","tagging","school","cheyenne manual labor and boarding school"
"chickasaw orphan home and manual labor school","Replace","","","tagging","school","chickasaw orphan home and manual labor school;burney academy"
